Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signaling By PDGFR In Disease R-HSA-9671555	3/19	3.2831216715747246E-7	5.342139358043807E-5	0	0	312.015625	4658.175167360941	NRAS;PIK3CA;KDR
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	6/424	3.729819063834995E-7	5.342139358043807E-5	0	0	31.207336523125996	461.92275419516517	SMAD4;NRAS;PIK3CA;FBXW7;KDR;FGF4
Signaling By FGFR3 In Disease R-HSA-5655332	3/21	4.5022093715144396E-7	5.342139358043807E-5	0	0	277.31944444444446	4052.6153008350343	NRAS;PIK3CA;FGF4
Downstream Signaling Of Activated FGFR3 R-HSA-5654708	3/24	6.842273175647669E-7	5.342139358043807E-5	0	0	237.66666666666666	3373.6725435152525	NRAS;PIK3CA;FGF4
Disease R-HSA-1643685	9/1736	8.459477375797455E-7	5.342139358043807E-5	0	0	15.85813549507817	221.74126791200683	SMAD4;JUN;NRAS;RAD51;PIK3CA;FBXW7;KDR;TP53;FGF4
Downstream Signaling Of Activated FGFR4 R-HSA-5654716	3/26	8.781598944729546E-7	5.342139358043807E-5	0	0	216.97826086956522	3025.8566993815257	NRAS;PIK3CA;FGF4
Downstream Signaling Of Activated FGFR2 R-HSA-5654696	3/29	1.232491854927866E-6	5.5513285576619734E-5	0	0	191.91346153846155	2611.2652444082614	NRAS;PIK3CA;FGF4
Signal Transduction R-HSA-162582	10/2465	1.324065230160948E-6	5.5513285576619734E-5	0	0	14.281059063136457	193.29133296374607	SMAD4;JUN;NRAS;KEL;PIK3CA;FBXW7;CHEK1;KDR;TP53;FGF4
Downstream Signaling Of Activated FGFR1 R-HSA-5654687	3/30	1.368820740245418E-6	5.5513285576619734E-5	0	0	184.7962962962963	2495.0384600602	NRAS;PIK3CA;FGF4
Signaling By FGFR1 In Disease R-HSA-5655302	3/36	2.400758251290526E-6	8.762767617210421E-5	0	0	151.15151515151516	1955.8591803382785	NRAS;PIK3CA;FGF4
Signaling By FGFR3 R-HSA-5654741	3/39	3.0687638751839905E-6	1.0036584637280433E-4	0	0	138.53472222222223	1758.592419843444	NRAS;PIK3CA;FGF4
Signaling By FGFR4 R-HSA-5654743	3/40	3.3160919751159305E-6	1.0036584637280433E-4	0	0	134.78378378378378	1700.5297436473936	NRAS;PIK3CA;FGF4
Signaling By FGFR2 In Disease R-HSA-5655253	3/42	3.849648901970577E-6	1.0036584637280433E-4	0	0	127.85897435897436	1594.085420624933	NRAS;PIK3CA;FGF4
Signaling By SCF-KIT R-HSA-1433557	3/42	3.849648901970577E-6	1.0036584637280433E-4	0	0	127.85897435897436	1594.085420624933	NRAS;PIK3CA;CHEK1
IRS-mediated Signaling R-HSA-112399	3/47	5.4252529665935255E-6	1.3201448885377578E-4	0	0	113.30113636363636	1373.7135129602316	NRAS;PIK3CA;FGF4
Signaling By FGFR1 R-HSA-5654736	3/49	6.1588043645216905E-6	1.4049772456565106E-4	0	0	108.36413043478261	1300.1125142221763	NRAS;PIK3CA;FGF4
IRS-related Events Triggered By IGF1R R-HSA-2428928	3/51	6.95515636241328E-6	1.4265672930311495E-4	0	0	103.83854166666667	1233.1893505194407	NRAS;PIK3CA;FGF4
IGF1R Signaling Cascade R-HSA-2428924	3/52	7.377663613849113E-6	1.4265672930311495E-4	0	0	101.71428571428571	1201.9631613872264	NRAS;PIK3CA;FGF4
Insulin Receptor Signaling Cascade R-HSA-74751	3/53	7.81680708510219E-6	1.4265672930311495E-4	0	0	99.675	1172.1016876161739	NRAS;PIK3CA;FGF4
Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192	3/53	7.81680708510219E-6	1.4265672930311495E-4	0	0	99.675	1172.1016876161739	NRAS;PIK3CA;FGF4
Generic Transcription Pathway R-HSA-212436	7/1190	1.0933714817632876E-5	1.8251653386974458E-4	0	0	13.90680473372781	158.86660117660747	SMAD4;JUN;NRAS;RAD51;FBXW7;CHEK1;TP53
RUNX3 Regulates CDKN1A Transcription R-HSA-8941855	2/7	1.1000996562012003E-5	1.8251653386974458E-4	0	0	614.7692307692307	7019.142872634003	SMAD4;TP53
